LBC,LBCeq,pH,Ca,K,Mg,Mn,P,Zn,Ammonium,NO2,NO3,C,N,Soil Moisture,Longitude,Latitude,Site,DBH,Total Tree Height,Collection Date,Sample ID
559,1621.1,6.62,2432.986,208.8715,447.2723,22.3931,108.6768,2.4071,4.41585795,0.0,3.3022435999999997,1.852,0.397,6.458607780026167,123.193963,44.588222,Corvallis,1.6,3.72,09-2020-04T09:40:00,BESC-331-Co1_12_7_SC
605,1754.5,6.61,2448.3301,169.2807,471.4946,25.1614,105.3958,2.3241,4.4730924000000005,0.0,26.0970203,1.709,0.29,49.05531509830376,123.19409,44.588248,Corvallis,3.2,6.86,09-2020-03T07:50:00,BESC-351-Co1_10_3_SC
664,1925.6,6.59,2351.5239,289.8164,445.7673,26.6471,103.0712,3.8888,4.0579854,0.0,9.3644723,2.267,0.393,9.404982420444114,123.193941,44.587947,Corvallis,2.0,4.33,09-2020-03T12:15:00,BESC-388-Co1_32_7_SC
664,1925.6,6.59,2351.5239,289.8164,445.7673,26.6471,103.0712,3.8888,4.0579854,0.0,9.3644723,2.267,0.393,8.906941904262311,123.193941,44.587947,Corvallis,2.0,4.33,09-2020-03T12:15:00,BESC-388-Co1_32_7_SC
624,1809.6,6.55,2397.0815,300.2624,460.7438,29.5902,109.6032,4.0,4.48001085,0.0,8.5344848,2.135,0.374,9.404982420444114,123.193941,44.587947,Corvallis,2.0,4.33,09-2020-03T12:15:00,BESC-388-Co1_32_7_SC
624,1809.6,6.55,2397.0815,300.2624,460.7438,29.5902,109.6032,4.0,4.48001085,0.0,8.5344848,2.135,0.374,8.906941904262311,123.193941,44.587947,Corvallis,2.0,4.33,09-2020-03T12:15:00,BESC-388-Co1_32_7_SC
480,1392.0,6.63,2217.8873,153.6872,439.5511,20.3547,116.3904,1.8725,3.0749365500000003,0.0,8.4946454,1.175,0.232,6.6913707836438485,128.194052,44.588305,Corvallis,2.6,5.51,09-2020-04,BESC-833-Co1_6_4_SC
539,1563.1,6.54,2322.5534,206.2265,440.4211,21.3753,117.8524,2.8677,3.47746455,0.0,21.4579435,1.765,0.3,7.849162881895325,123.193899,44.588219,Corvallis,2.4,4.67,09-2020-03T09:28:00,BESC-847-Co1_12_9_SC
492,1426.8,6.66,2092.6501,150.2252,421.1898,19.3685,112.6234,1.9367,4.3001311499999995,0.0,8.8288537,1.25,0.261,5.036053537995792,123.194029,44.588251,Corvallis,1.9,3.97,09-2020-04T10:10:00,BESC-866-Co1_10_5_SC
696,2018.4,6.7,2720.0451,362.0213,477.5268,28.0189,97.622,4.6939,4.4240343,0.0,5.832045499999999,2.801,0.316,7.232770874690591,123.193905,44.588317,Corvallis,2.1,4.41,09-2020-04T09:00:00,BESC-904-Co1_5_9_SC
732,2122.8,6.4,2598.3516,179.1911,516.7368,26.229,98.8311,3.1196,3.8529477,0.0,8.8045074,2.156,0.392,11.868933662944187,123.19405,44.588192,Corvallis,2.1,4.98,09-2020-03T10:05:00,GW-4579-Co1_14_4_SC
732,2122.8,6.4,2598.3516,179.1911,516.7368,26.229,98.8311,3.1196,3.8529477,0.0,8.8045074,2.156,0.392,11.450620982919647,123.19405,44.588192,Corvallis,2.1,4.98,09-2020-03T10:05:00,GW-4579-Co1_14_4_SC
726,2105.4,6.42,2547.8296,166.3891,481.1291,25.2036,100.3333,2.948,4.70140125,0.0,8.0851849,2.311,0.35,11.868933662944187,123.19405,44.588192,Corvallis,2.1,4.98,09-2020-03T10:05:00,GW-4579-Co1_14_4_SC
726,2105.4,6.42,2547.8296,166.3891,481.1291,25.2036,100.3333,2.948,4.70140125,0.0,8.0851849,2.311,0.35,11.450620982919647,123.19405,44.588192,Corvallis,2.1,4.98,09-2020-03T10:05:00,GW-4579-Co1_14_4_SC
449,1302.1,6.64,1945.9801,304.9646,351.8753,17.688,114.6129,2.6576,2.2661068500000003,0.0,7.516366799999999,1.235,0.242,9.656352419510316,123.19393,44.588162,Corvallis,2.0,3.53,09-2020-03T10:20:00,GW-9591-Co1_16_8_SC
624,1809.6,6.6,2484.1278,200.3241,457.321,30.0327,108.3025,3.9728,4.4328396,0.0,9.3445526,2.203,0.309,32.42209392369484,123.19403,44.588348,Corvallis,2.3,4.29,09-2020-04T07:50:00,SKWA-24-3-Co1_3_5_SC
514,1490.6,6.72,2206.8159,173.0271,448.9315,20.7862,115.0439,2.4845,3.72023925,0.0,4.351347799999999,1.431,0.298,6.299332950995389,123.194027,44.588286,Corvallis,1.3,2.89,09-2020-05,SKWD-24-1-Co1_7_5_SC
677,1963.3,6.6,2435.54,210.1431,502.5488,29.6194,112.0044,4.0575,4.59699555,0.0,4.9179526,2.163,0.4,4.6023512376660385,123.194069,44.588056,Corvallis,1.3,3.19,09-2020-02T15:45:00,BESC-845-Co1_24_3_SC
713,2067.7,7.0,2625.8365,168.9278,536.7464,56.4224,107.3896,4.429,4.79448585,0.0,1.8303990999999997,1.99,0.366,35.68931879787939,123.194065,44.388014,Corvallis,1.5,2.7,09-2020-02T15:50:00,BESC-133-Co1_27_3_SC
713,2067.7,7.0,2625.8365,168.9278,536.7464,56.4224,107.3896,4.429,4.79448585,0.0,1.8303990999999997,1.99,0.366,37.57430714853245,123.194065,44.388014,Corvallis,1.5,2.7,09-2020-02T15:50:00,BESC-133-Co1_27_3_SC
709,2056.1,7.07,2689.3465,171.4394,575.3979,56.1875,108.5705,6.3205,5.19575595,0.0,2.2841256,2.293,0.323,35.68931879787939,123.194065,44.388014,Corvallis,1.5,2.7,09-2020-02T15:50:00,BESC-133-Co1_27_3_SC
709,2056.1,7.07,2689.3465,171.4394,575.3979,56.1875,108.5705,6.3205,5.19575595,0.0,2.2841256,2.293,0.323,37.57430714853245,123.194065,44.388014,Corvallis,1.5,2.7,09-2020-02T15:50:00,BESC-133-Co1_27_3_SC
594,1722.6,6.85,2498.4308,219.2653,485.0766,28.6011,115.1121,4.1569,3.7913105999999996,0.0,1.0380376999999998,2.358,0.34,4.600528450767921,123.194072,44.58807,Corvallis,2.0,3.15,09-2020-02T14:30:00,BESC-234-Co1_23_3_SC
619,1795.1,6.57,2229.216,383.2006,440.4451,20.3272,98.0889,2.1278,6.37818195,0.0,13.2975064,1.552,0.328,11.527971870384519,123.19406,44.587973,Corvallis,1.6,3.45,09-2020-03T12:44:00,BESC-13-Co1_30_3_SC
465,1348.5,6.18,1629.0296,183.4217,363.0291,32.4044,111.0062,2.7511,6.6568068,0.0,1.5271769999999998,1.348,0.254,4.587419331143175,123.193689,44.587539,Corvallis,1.5,3.23,09-2020-04T11:30:00,BESC-307-Co2_62_14_SC
448,1299.2,6.92,2152.424,449.0907,418.2096,17.8597,120.3928,3.3915,2.59945035,0.0,4.973285099999999,1.342,0.335,6.995483373101448,123.193614,44.587702,Corvallis,1.7,3.91,09-2020-04T14:30:00,BESC-331-Co2_50_17_SC
577,1673.3,6.81,2320.8302,489.7672,458.9396,20.1285,114.327,2.638,2.9296491000000002,0.0,12.412186399999998,1.801,0.326,8.21918662091448,123.193624,44.587809,Corvallis,2.0,4.2,09-2020-04T11:33:00,BESC-351-Co2_42_17_SC
577,1673.3,6.81,2320.8302,489.7672,458.9396,20.1285,114.327,2.638,2.9296491000000002,0.0,12.412186399999998,1.801,0.326,7.9102434562819965,123.193624,44.587809,Corvallis,2.0,4.2,09-2020-04T11:33:00,BESC-351-Co2_42_17_SC
613,1777.7,6.83,2416.7215,486.7291,470.7525,23.0525,115.5608,3.1215,3.47620665,0.0,12.631303099999998,2.051,0.35,8.21918662091448,123.193624,44.587809,Corvallis,2.0,4.2,09-2020-04T11:33:00,BESC-351-Co2_42_17_SC
613,1777.7,6.83,2416.7215,486.7291,470.7525,23.0525,115.5608,3.1215,3.47620665,0.0,12.631303099999998,2.051,0.35,7.9102434562819965,123.193624,44.587809,Corvallis,2.0,4.2,09-2020-04T11:33:00,BESC-351-Co2_42_17_SC
499,1447.1,6.72,2331.8356,251.4762,397.5362,23.085,119.2262,6.7812,10.442456850000001,0.0,6.210519799999999,2.344,0.433,6.90542746564346,123.19336,44.58753,Corvallis,4.6,6.61,09-2020-03T15:15:00,BESC-360-Co2_62_25_SC
